feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
0.7267926544858805,0.3649114630600684,0.6048075086980377,0.2598110591394557,0.5995228799108456,0.6419063876403646,0.2526450162361228,0.4378086914490942,0.2376731081005531,0.46187790428461306,1.4742667098027709
0.1033506419698007,0.8263521206015662,0.9895106588126097,0.47680832059039313,0.3996012523406497,0.5156489863796797,0.20679054647985884,0.7802437055678749,0.9267355241847245,0.15513578524391014,2.404066813730282
0.8186992871063289,0.31567036193236664,0.8240130567726508,0.491236130522384,0.10638267885891828,0.626289504820127,0.031035298138046508,0.11309578515477614,0.10121123266318799,0.6933383955448644,2.2796073881296635
0.34017323266475596,0.5534206473878304,0.1661465836269448,0.677884745344426,0.6395834861219613,0.6471548438805894,0.38128851917199913,0.5990722484195823,0.31039589164591064,0.500301663309501,1.6367804105659196
0.45624981836494605,0.0419128729813838,0.245524095605673,0.3199927709977263,0.7988459514879009,0.000586239961354873,0.6892299559372352,0.07288441953679403,0.20913771366344502,0.9809533125174918,2.1896188451156977
0.7300765912976486,0.32276512021567183,0.4984377130932923,0.04643801642245804,0.21517727583932933,0.42493797853934256,0.10464818967356371,0.5799540694494193,0.9677169772113355,0.07884631890676741,1.0951239077482278
0.6769519418107072,0.5535251793723892,0.20372030686522324,0.2525264543653859,0.3250362510995266,0.910341049637523,0.6976544011060402,0.5276769194373192,0.7067119899761909,0.23730805137930056,2.0676865930852095
0.8129456565443962,0.2941252349533108,0.03237924704671835,0.5199417130561053,0.49110860108135534,0.0029403818345624666,0.2447904795974971,0.014882373256303483,0.8647227114409706,0.2904333720768567,2.26783780270505
0.8293837910720407,0.5454486959889974,0.698776534364127,0.9902832916406051,0.37434353560481626,0.71069901572213,0.9662979430460806,0.8953601140492736,0.32442493177082343,0.5836011489161693,3.828064298096886
0.016050645301729394,0.7744841045349999,0.3918442257261311,0.5272302121750237,0.32734796906797536,0.5953278029095046,0.6369576321555898,0.8487184468526862,0.2129907622077276,0.23833666438104517,2.940971887694369
0.8758846505265446,0.5186410206819857,0.28915986697915663,0.8353674841468726,0.25252929931766077,0.7294502517528381,0.08521184417762973,0.14614467395515773,0.4945965606080581,0.1531983838081904,1.497310582658552
0.24982226132595242,0.8569683850726455,0.13576333820018582,0.06270589228025014,0.9201358757062263,0.4772342468147971,0.8104669355279825,0.7889376334773396,0.49740547346512,0.4932316342359515,1.6451604224932121
0.21269853568696784,0.4569456780182951,0.34599897288703896,0.8800054936502549,0.9442653263232038,0.625682628435798,0.5271088388362414,0.2959398586776075,0.5993134732328174,0.7236074974647191,2.3091259986736365
0.2611633120596817,0.49625688665691736,0.15388309147970447,0.3558879354151985,0.3763494643861359,0.357371994023149,0.133863770403981,0.7256737345682449,0.4036102961829052,0.2626047225673819,1.8203448801903845
